1:0.39910622 2:0.29058487 3:0.41973209 4:0.47765216 5:0.31169007 6:0.34534040 7:0.27597963 8:0.21807424 9:0.27652980 10:0.27433594 11:0.20497452 12:0.22520221 13:0.19637661 14:0.15747379 15:0.21062175 16:0.19661845 17:0.14508392 18:0.17510687 19:0.15234620 20:0.14246517 21:0.17330753 22:0.15380049 23:0.13200199 24:0.14006584 25:0.39910622 26:0.29058487 27:0.41973209 28:0.47765216 29:0.31169007 30:0.34534040 31:0.27597963 32:0.21807424 33:0.27652980 34:0.27433594 35:0.20497452 36:0.22520221 37:0.19637661 38:0.15747379 39:0.21062175 40:0.19661845 41:0.14508392 42:0.17510687 43:0.15234620 44:0.14246517 45:0.17330753 46:0.15380049 47:0.13200199 48:0.14006584 49:0.39910622 50:0.29058487 51:0.41973209 52:0.47765216 53:0.31169007 54:0.34534040 55:0.27597963 56:0.21807424 57:0.27652980 58:0.27433594 59:0.20497452 60:0.22520221 61:0.19637661 62:0.15747379 63:0.21062175 64:0.19661845 65:0.14508392 66:0.17510687 67:0.15234620 68:0.14246517 69:0.17330753 70:0.15380049 71:0.13200199 72:0.14006584
1:0.54412143 2:0.50471093 3:0.44305046 4:0.89004275 5:0.44669165 6:0.34698767 7:0.36503323 8:0.34180511 9:0.29743920 10:0.64394927 11:0.29103290 12:0.24331348 13:0.32212212 14:0.28527440 15:0.24990431 16:0.49250456 17:0.24159572 18:0.22488630 19:0.27815141 20:0.26415094 21:0.24744136 22:0.36241573 23:0.22642980 24:0.21565712 25:0.48324363 26:0.45411524 27:0.38787967 28:0.75636260 29:0.38847872 30:0.30086757 31:0.31439686 32:0.30005119 33:0.24465551 34:0.53048630 35:0.24372523 36:0.20773812 37:0.27820847 38:0.25118734 39:0.20673752 40:0.40799858 41:0.20065274 42:0.19156595 43:0.26280186 44:0.25720133 45:0.23699231 46:0.32985472 47:0.21369526 48:0.20580716 49:0.41876472 50:0.39897371 51:0.34231077 52:0.64019360 53:0.33381710 54:0.26124576 55:0.27633004 56:0.26577164 57:0.21889540 58:0.45431913 59:0.21504257 60:0.18813557 61:0.25239732 62:0.23426272 63:0.19284007 64:0.36119766 65:0.18768350 66:0.18339175 67:0.25091727 68:0.25333236 69:0.23427559 70:0.31373167 71:0.21171585 72:0.20586967
1:0.46398425 2:0.29902201 3:0.28071935 4:0.36742806 5:0.27774042 6:0.29799797 7:0.37357593 8:0.27039505 9:0.23585628 10:0.29469291 11:0.24115614 12:0.26777743 13:0.29345463 14:0.23856830 15:0.24068094 16:0.26796316 17:0.24351254 18:0.24388723 19:0.22494351 20:0.20689260 21:0.21153866 22:0.21943305 23:0.20578440 24:0.20151485 25:0.40611996 26:0.27200777 27:0.26460557 28:0.34081803 29:0.25860199 30:0.27847814 31:0.35364695 32:0.27079336 33:0.24691301 34:0.29478902 35:0.24839667 36:0.26632825 37:0.29208184 38:0.24491987 39:0.25064000 40:0.27235513 41:0.25192385 42:0.25098316 43:0.21686171 44:0.20532638 45:0.20985432 46:0.21362926 47:0.20399883 48:0.19917521 49:0.33697957 50:0.25090347 51:0.25347340 52:0.30976497 53:0.24613195 54:0.25938238 55:0.36205663 56:0.30208707 57:0.28239173 58:0.32309735 59:0.29265965 60:0.30703993 61:0.34420635 62:0.30709551 63:0.31136956 64:0.32276656 65:0.31152549 66:0.31554483 67:0.23502813 68:0.22301523 69:0.22738182 70:0.22964350 71:0.22138753 72:0.21907728
1:1.34892052 2:0.91762077 3:0.57453286 4:0.67523673 5:0.57104274 6:0.75112629 7:1.15227925 8:0.68386925 9:0.52023626 10:0.59146818 11:0.49702159 12:0.67552604 13:0.99639592 14:0.65967044 15:0.55954410 16:0.65220637 17:0.58065733 18:0.67851776 19:0.77773412 20:0.61392546 21:0.60869103 22:0.70019290 23:0.60742295 24:0.60718240 25:1.34888113 26:0.91716669 27:0.57431704 28:0.67301224 29:0.57017182 30:0.75236936 31:1.15251438 32:0.68424855 33:0.52000183 34:0.59051033 35:0.49705741 36:0.67541570 37:0.99633782 38:0.65967940 39:0.55943926 40:0.65174751 41:0.58068144 42:0.67840965 43:0.77755192 44:0.61391167 45:0.60865434 46:0.69997276 47:0.60740121 48:0.60714607 49:1.34921052 50:0.91629376 51:0.57436135 52:0.67267467 53:0.56952669 54:0.75169724 55:1.15261351 56:0.68373532 57:0.52011294 58:0.59083563 59:0.49666275 60:0.67458139 61:0.99685662 62:0.65973703 63:0.55942630 64:0.65169010 65:0.58057962 66:0.67850756 67:0.77789358 68:0.61384279 69:0.60852794 70:0.69987045 71:0.60736982 72:0.60712112
1:0.68384296 2:0.29513799 3:0.43412580 4:0.67785237 5:0.35653177 6:0.53310025 7:0.42350013 8:0.20092785 9:0.29247204 10:0.47071867 11:0.24208446 12:0.31641597 13:0.32942584 14:0.20764129 15:0.27454784 16:0.35407940 17:0.21066372 18:0.26316070 19:0.27729172 20:0.20332275 21:0.23167662 22:0.25223128 23:0.19527843 24:0.24180993 25:0.72041785 26:0.31504717 27:0.46266274 28:0.64694160 29:0.36245910 30:0.56275570 31:0.45870550 32:0.21028176 33:0.30789319 34:0.44625267 35:0.23147490 36:0.34487117 37:0.34529452 38:0.21307096 39:0.27525594 40:0.34089413 41:0.19848979 42:0.26763467 43:0.25765458 44:0.18608317 45:0.21163137 46:0.22569023 47:0.17174702 48:0.22529346 49:0.72088200 50:0.30677352 51:0.46514594 52:0.64023966 53:0.36059597 54:0.57231755 55:0.46017877 56:0.20839296 57:0.31557469 58:0.43884483 59:0.22673870 60:0.34789754 61:0.34689053 62:0.21418814 63:0.28187088 64:0.34221914 65:0.19805607 66:0.27159223 67:0.26406549 68:0.19268867 69:0.21864550 70:0.23155814 71:0.17812373 72:0.23246616
1:0.42367472 2:0.34847761 3:0.35825893 4:0.62862888 5:0.37880016 6:0.31871122 7:0.29971032 8:0.22844008 9:0.28658344 10:0.44116535 11:0.30222037 12:0.26172655 13:0.19204536 14:0.15647638 15:0.17529842 16:0.25903743 17:0.20160254 18:0.17600738 19:0.14679509 20:0.13486421 21:0.15170203 22:0.19557755 23:0.16582728 24:0.14902778 25:0.42367472 26:0.34847761 27:0.35825893 28:0.62862888 29:0.37880016 30:0.31871122 31:0.29971032 32:0.22844008 33:0.28658344 34:0.44116535 35:0.30222037 36:0.26172655 37:0.19204536 38:0.15647638 39:0.17529842 40:0.25903743 41:0.20160254 42:0.17600738 43:0.14679509 44:0.13486421 45:0.15170203 46:0.19557755 47:0.16582728 48:0.14902778 49:0.42367472 50:0.34847761 51:0.35825893 52:0.62862888 53:0.37880016 54:0.31871122 55:0.29971032 56:0.22844008 57:0.28658344 58:0.44116535 59:0.30222037 60:0.26172655 61:0.19204536 62:0.15647638 63:0.17529842 64:0.25903743 65:0.20160254 66:0.17600738 67:0.14679509 68:0.13486421 69:0.15170203 70:0.19557755 71:0.16582728 72:0.14902778
1:0.45407960 2:0.27956690 3:0.27399886 4:0.38507951 5:0.28640904 6:0.30562817 7:0.33616150 8:0.22754202 9:0.20884132 10:0.27571894 11:0.22659372 12:0.25892981 13:0.30579015 14:0.25053829 15:0.22651680 16:0.24840269 17:0.22385789 18:0.23845977 19:0.30435589 20:0.29826591 21:0.25396701 22:0.23332919 23:0.23534127 24:0.25770648 25:0.40803021 26:0.25516088 27:0.24746225 28:0.35764862 29:0.27232598 30:0.28367542 31:0.31377118 32:0.21302694 33:0.19831742 34:0.26089904 35:0.22051667 36:0.24732639 37:0.29897380 38:0.25103065 39:0.22578151 40:0.24392621 41:0.22302129 42:0.23797257 43:0.29886229 44:0.29718333 45:0.25333978 46:0.22959284 47:0.23441248 48:0.25680186 49:0.37436865 50:0.24532880 51:0.24082918 52:0.32729037 53:0.25425827 54:0.27320967 55:0.29595402 56:0.23195290 57:0.21280087 58:0.25329589 59:0.22513854 60:0.24509709 61:0.30738488 62:0.26735569 63:0.24102738 64:0.24855208 65:0.23805126 66:0.25439820 67:0.29692627 68:0.29857348 69:0.25538342 70:0.22923591 71:0.23724658 72:0.25991466
1:0.66305499 2:0.45694679 3:0.40699493 4:0.77502725 5:0.48982733 6:0.42152578 7:0.45594272 8:0.31655554 9:0.29990689 10:0.54527640 11:0.34475092 12:0.31042001 13:0.35192358 14:0.25207887 15:0.23365182 16:0.39723233 17:0.25275590 18:0.23146686 19:0.26948414 20:0.22248347 21:0.21005711 22:0.27802783 23:0.20927926 24:0.20429713 25:0.55601359 26:0.39065035 27:0.33906294 28:0.64385080 29:0.42607605 30:0.36115823 31:0.38700949 32:0.27312468 33:0.25286305 34:0.44566981 35:0.29992556 36:0.27020959 37:0.30620091 38:0.22262286 39:0.20165983 40:0.32481438 41:0.22073804 42:0.20550753 43:0.24458045 44:0.20951269 45:0.19656251 46:0.24373674 47:0.19720302 48:0.19416138 49:0.52379531 50:0.37558965 51:0.31891283 52:0.59249756 53:0.41140780 54:0.34944114 55:0.36499744 56:0.26644025 57:0.24432984 58:0.40925896 59:0.29216550 60:0.26370971 61:0.29626258 62:0.22268389 63:0.19914716 64:0.30123393 65:0.21819115 66:0.20755142 67:0.24418697 68:0.21607651 69:0.20310865 70:0.23917123 71:0.20272065 72:0.20001021
1:0.56510730 2:0.45890617 3:0.43568106 4:0.55899436 5:0.53479419 6:0.48537395 7:0.34768771 8:0.29206076 9:0.27886759 10:0.30680099 11:0.29624179 12:0.29712001 13:0.22573620 14:0.21116276 15:0.22355226 16:0.20337509 17:0.18766711 18:0.18491625 19:0.17917080 20:0.17872234 21:0.19398079 22:0.17092119 23:0.16932213 24:0.16831516 25:0.51055105 26:0.40922085 27:0.38613635 28:0.48362378 29:0.49027185 30:0.44920546 31:0.31480312 32:0.26058144 33:0.24015989 34:0.25395245 35:0.26839513 36:0.27591435 37:0.20483664 38:0.19003211 39:0.19742340 40:0.17278490 41:0.16956582 42:0.17042335 43:0.17257619 44:0.17354304 45:0.18700942 46:0.16113632 47:0.16513207 48:0.16471235 49:0.47920231 50:0.38561590 51:0.36105978 52:0.45168364 53:0.46604439 54:0.42919665 55:0.30276704 56:0.25182122 57:0.23049890 58:0.24126511 59:0.26311683 60:0.27084408 61:0.20802810 62:0.19162675 63:0.19805052 64:0.17534424 65:0.17530576 66:0.17735572 67:0.17497762 68:0.17569817 69:0.18852258 70:0.16221530 71:0.16870011 72:0.16862778
1:0.65267177 2:0.46200323 3:0.52256997 4:1.03780303 5:0.46690454 6:0.44074712 7:0.48227295 8:0.30005081 9:0.36065157 10:0.75060320 11:0.31185025 12:0.28591957 13:0.40588315 14:0.25898430 15:0.28299922 16:0.48760284 17:0.24985904 18:0.23833221 19:0.31142172 20:0.22343692 21:0.23672129 22:0.35521763 23:0.21845215 24:0.20854846 25:0.59542742 26:0.42216423 27:0.47237633 28:0.92405016 29:0.42197123 30:0.40122050 31:0.44180828 32:0.27393771 33:0.32497303 34:0.66641965 35:0.28056480 36:0.25981653 37:0.37772985 38:0.23995046 39:0.26088816 40:0.44158668 41:0.22758431 42:0.22085390 43:0.29848243 44:0.21665683 45:0.22902784 46:0.33854893 47:0.21134832 48:0.20157558 49:0.55417114 50:0.39578310 51:0.43808628 52:0.83692722 53:0.38954392 54:0.37425946 55:0.41786293 56:0.26205393 57:0.30581050 58:0.61110263 59:0.26392571 60:0.24977265 61:0.36514646 62:0.23639857 63:0.25310151 64:0.41573904 65:0.22212127 66:0.21704733 67:0.29386070 68:0.21613582 69:0.22702806 70:0.32792856 71:0.20993527 72:0.20088152
