1:0.47352470 2:0.33449578 3:0.30953706 4:0.38376748 5:0.28615827 6:0.31200903 7:0.68447464 8:0.50566220 9:0.85860672 10:3.14562620 11:0.82720809 12:0.52699752 13:1.13899413 14:0.88692937 15:1.04277224 16:2.71253652 17:1.05006351 18:0.88536698 19:1.94306939 20:1.75004940 21:1.82706128 22:3.65631713 23:1.82472333 24:1.74945437 25:0.47352470 26:0.33449578 27:0.30953706 28:0.38376748 29:0.28615827 30:0.31200903 31:0.68447464 32:0.50566220 33:0.85860672 34:3.14562620 35:0.82720809 36:0.52699752 37:1.13899413 38:0.88692937 39:1.04277224 40:2.71253652 41:1.05006351 42:0.88536698 43:1.94306939 44:1.75004940 45:1.82706128 46:3.65631713 47:1.82472333 48:1.74945437 49:0.47352470 50:0.33449578 51:0.30953706 52:0.38376748 53:0.28615827 54:0.31200903 55:0.68447464 56:0.50566220 57:0.85860672 58:3.14562620 59:0.82720809 60:0.52699752 61:1.13899413 62:0.88692937 63:1.04277224 64:2.71253652 65:1.05006351 66:0.88536698 67:1.94306939 68:1.75004940 69:1.82706128 70:3.65631713 71:1.82472333 72:1.74945437
1:0.42943988 2:0.28630542 3:0.28159439 4:0.40965825 5:0.27654561 6:0.27619963 7:0.60340340 8:0.49765411 9:0.61917909 10:1.20811214 11:0.60455015 12:0.48370965 13:1.01750932 14:0.99554817 15:1.08007782 16:2.40817503 17:1.08432407 18:0.98863047 19:1.84158669 20:1.86069319 21:2.01629551 22:3.56715468 23:2.00983582 24:1.86250556 25:0.42943988 26:0.28630542 27:0.28159439 28:0.40965825 29:0.27654561 30:0.27619963 31:0.60340340 32:0.49765411 33:0.61917909 34:1.20811214 35:0.60455015 36:0.48370965 37:1.01750932 38:0.99554817 39:1.08007782 40:2.40817503 41:1.08432407 42:0.98863047 43:1.84158669 44:1.86069319 45:2.01629551 46:3.56715468 47:2.00983582 48:1.86250556 49:0.42943988 50:0.28630542 51:0.28159439 52:0.40965825 53:0.27654561 54:0.27619963 55:0.60340340 56:0.49765411 57:0.61917909 58:1.20811214 59:0.60455015 60:0.48370965 61:1.01750932 62:0.99554817 63:1.08007782 64:2.40817503 65:1.08432407 66:0.98863047 67:1.84158669 68:1.86069319 69:2.01629551 70:3.56715468 71:2.00983582 72:1.86250556
1:0.41811581 2:0.27299872 3:0.27609027 4:0.36183554 5:0.26299602 6:0.25544669 7:0.59831745 8:0.48718850 9:0.64774998 10:1.66109750 11:0.65655392 12:0.49623429 13:0.97910173 14:0.98259677 15:1.10752488 16:2.74708232 17:1.10838880 18:0.96868465 19:1.78190737 20:1.82575176 21:2.00452035 22:3.58869312 23:2.02269754 24:1.83262929 25:0.41811581 26:0.27299872 27:0.27609027 28:0.36183554 29:0.26299602 30:0.25544669 31:0.59831745 32:0.48718850 33:0.64774998 34:1.66109750 35:0.65655392 36:0.49623429 37:0.97910173 38:0.98259677 39:1.10752488 40:2.74708232 41:1.10838880 42:0.96868465 43:1.78190737 44:1.82575176 45:2.00452035 46:3.58869312 47:2.02269754 48:1.83262929 49:0.41811581 50:0.27299872 51:0.27609027 52:0.36183554 53:0.26299602 54:0.25544669 55:0.59831745 56:0.48718850 57:0.64774998 58:1.66109750 59:0.65655392 60:0.49623429 61:0.97910173 62:0.98259677 63:1.10752488 64:2.74708232 65:1.10838880 66:0.96868465 67:1.78190737 68:1.82575176 69:2.00452035 70:3.58869312 71:2.02269754 72:1.83262929
1:0.53820628 2:0.32632552 3:0.29431029 4:0.43414057 5:0.29411728 6:0.30875822 7:0.64148561 8:0.50908820 9:0.65459557 10:1.87482960 11:0.70892263 12:0.47918575 13:1.03280363 14:0.98366795 15:1.07504846 16:2.18210643 17:1.05762783 18:0.96353450 19:1.84518658 20:1.90003102 21:2.05732883 22:3.43950401 23:2.05207861 24:1.92504597 25:0.53820628 26:0.32632552 27:0.29431029 28:0.43414057 29:0.29411728 30:0.30875822 31:0.64148561 32:0.50908820 33:0.65459557 34:1.87482960 35:0.70892263 36:0.47918575 37:1.03280363 38:0.98366795 39:1.07504846 40:2.18210643 41:1.05762783 42:0.96353450 43:1.84518658 44:1.90003102 45:2.05732883 46:3.43950401 47:2.05207861 48:1.92504597 49:0.53820628 50:0.32632552 51:0.29431029 52:0.43414057 53:0.29411728 54:0.30875822 55:0.64148561 56:0.50908820 57:0.65459557 58:1.87482960 59:0.70892263 60:0.47918575 61:1.03280363 62:0.98366795 63:1.07504846 64:2.18210643 65:1.05762783 66:0.96353450 67:1.84518658 68:1.90003102 69:2.05732883 70:3.43950401 71:2.05207861 72:1.92504597
1:0.49041824 2:0.26796227 3:0.23330625 4:0.35953719 5:0.23774992 6:0.25538689 7:0.54717307 8:0.42157743 9:0.66775443 10:1.78881164 11:0.69261399 12:0.41555113 13:0.81773349 14:0.78500838 15:1.00236782 16:2.74363300 17:1.00797789 18:0.79060198 19:1.46364985 20:1.48627627 21:1.75531442 22:3.97702499 23:1.76231160 24:1.48775144 25:0.49041824 26:0.26796227 27:0.23330625 28:0.35953719 29:0.23774992 30:0.25538689 31:0.54717307 32:0.42157743 33:0.66775443 34:1.78881164 35:0.69261399 36:0.41555113 37:0.81773349 38:0.78500838 39:1.00236782 40:2.74363300 41:1.00797789 42:0.79060198 43:1.46364985 44:1.48627627 45:1.75531442 46:3.97702499 47:1.76231160 48:1.48775144 49:0.49041824 50:0.26796227 51:0.23330625 52:0.35953719 53:0.23774992 54:0.25538689 55:0.54717307 56:0.42157743 57:0.66775443 58:1.78881164 59:0.69261399 60:0.41555113 61:0.81773349 62:0.78500838 63:1.00236782 64:2.74363300 65:1.00797789 66:0.79060198 67:1.46364985 68:1.48627627 69:1.75531442 70:3.97702499 71:1.76231160 72:1.48775144
1:0.41135440 2:0.29803937 3:0.30827953 4:0.45521885 5:0.31687542 6:0.30302089 7:0.59566358 8:0.53438214 9:0.60423020 10:1.52524079 11:0.61581327 12:0.53368184 13:1.04796233 14:1.01610097 15:1.08973882 16:2.02436421 17:1.10334853 18:1.03032272 19:2.01869757 20:2.04532606 21:2.11633498 22:3.23345456 23:2.10763961 24:2.04999003 25:0.41135440 26:0.29803937 27:0.30827953 28:0.45521885 29:0.31687542 30:0.30302089 31:0.59566358 32:0.53438214 33:0.60423020 34:1.52524079 35:0.61581327 36:0.53368184 37:1.04796233 38:1.01610097 39:1.08973882 40:2.02436421 41:1.10334853 42:1.03032272 43:2.01869757 44:2.04532606 45:2.11633498 46:3.23345456 47:2.10763961 48:2.04999003 49:0.41135440 50:0.29803937 51:0.30827953 52:0.45521885 53:0.31687542 54:0.30302089 55:0.59566358 56:0.53438214 57:0.60423020 58:1.52524079 59:0.61581327 60:0.53368184 61:1.04796233 62:1.01610097 63:1.08973882 64:2.02436421 65:1.10334853 66:1.03032272 67:2.01869757 68:2.04532606 69:2.11633498 70:3.23345456 71:2.10763961 72:2.04999003
1:0.48450906 2:0.27113499 3:0.26718030 4:0.38313412 5:0.26106274 6:0.28310946 7:0.62540018 8:0.49549215 9:0.65110870 10:1.39421338 11:0.66604611 12:0.50216224 13:1.00749160 14:0.97936033 15:1.07241995 16:2.51700898 17:1.09211510 18:0.98345457 19:1.81025710 20:1.84122601 21:2.03963526 22:3.82046352 23:2.04831575 24:1.83540873 25:0.48450906 26:0.27113499 27:0.26718030 28:0.38313412 29:0.26106274 30:0.28310946 31:0.62540018 32:0.49549215 33:0.65110870 34:1.39421338 35:0.66604611 36:0.50216224 37:1.00749160 38:0.97936033 39:1.07241995 40:2.51700898 41:1.09211510 42:0.98345457 43:1.81025710 44:1.84122601 45:2.03963526 46:3.82046352 47:2.04831575 48:1.83540873 49:0.48450906 50:0.27113499 51:0.26718030 52:0.38313412 53:0.26106274 54:0.28310946 55:0.62540018 56:0.49549215 57:0.65110870 58:1.39421338 59:0.66604611 60:0.50216224 61:1.00749160 62:0.97936033 63:1.07241995 64:2.51700898 65:1.09211510 66:0.98345457 67:1.81025710 68:1.84122601 69:2.03963526 70:3.82046352 71:2.04831575 72:1.83540873
1:0.51901574 2:0.27801905 3:0.26889920 4:0.38321787 5:0.26519373 6:0.27654318 7:0.61171941 8:0.50068543 9:0.80405378 10:1.27135019 11:0.81629425 12:0.51556776 13:0.99595548 14:0.97421426 15:1.11934834 16:2.63273308 17:1.12842337 18:0.99244736 19:1.83039282 20:1.85975912 21:2.04960955 22:3.60801765 23:2.03061638 24:1.86430873 25:0.51901574 26:0.27801905 27:0.26889920 28:0.38321787 29:0.26519373 30:0.27654318 31:0.61171941 32:0.50068543 33:0.80405378 34:1.27135019 35:0.81629425 36:0.51556776 37:0.99595548 38:0.97421426 39:1.11934834 40:2.63273308 41:1.12842337 42:0.99244736 43:1.83039282 44:1.85975912 45:2.04960955 46:3.60801765 47:2.03061638 48:1.86430873 49:0.51901574 50:0.27801905 51:0.26889920 52:0.38321787 53:0.26519373 54:0.27654318 55:0.61171941 56:0.50068543 57:0.80405378 58:1.27135019 59:0.81629425 60:0.51556776 61:0.99595548 62:0.97421426 63:1.11934834 64:2.63273308 65:1.12842337 66:0.99244736 67:1.83039282 68:1.85975912 69:2.04960955 70:3.60801765 71:2.03061638 72:1.86430873
1:0.44216443 2:0.29954326 3:0.29627760 4:0.44939100 5:0.29274839 6:0.31219119 7:0.61863370 8:0.51876122 9:0.63014825 10:1.02430019 11:0.64210774 12:0.51296287 13:1.02341286 14:0.99630007 15:1.11385875 16:2.53973872 17:1.10021265 18:0.97518147 19:1.81945796 20:1.84679635 21:2.02214671 22:3.58018621 23:2.02237099 24:1.83044779 25:0.44216443 26:0.29954326 27:0.29627760 28:0.44939100 29:0.29274839 30:0.31219119 31:0.61863370 32:0.51876122 33:0.63014825 34:1.02430019 35:0.64210774 36:0.51296287 37:1.02341286 38:0.99630007 39:1.11385875 40:2.53973872 41:1.10021265 42:0.97518147 43:1.81945796 44:1.84679635 45:2.02214671 46:3.58018621 47:2.02237099 48:1.83044779 49:0.44216443 50:0.29954326 51:0.29627760 52:0.44939100 53:0.29274839 54:0.31219119 55:0.61863370 56:0.51876122 57:0.63014825 58:1.02430019 59:0.64210774 60:0.51296287 61:1.02341286 62:0.99630007 63:1.11385875 64:2.53973872 65:1.10021265 66:0.97518147 67:1.81945796 68:1.84679635 69:2.02214671 70:3.58018621 71:2.02237099 72:1.83044779
1:0.42167351 2:0.25859680 3:0.25492904 4:0.40206616 5:0.26116304 6:0.27851728 7:0.56644890 8:0.48331008 9:0.62409301 10:0.90101181 11:0.61442807 12:0.47657839 13:0.96011900 14:0.98568067 15:1.09056600 16:2.47859881 17:1.10788517 18:0.99551263 19:1.71622731 20:1.79693301 21:1.97658132 22:3.68966119 23:1.97872783 24:1.79961823 25:0.42167351 26:0.25859680 27:0.25492904 28:0.40206616 29:0.26116304 30:0.27851728 31:0.56644890 32:0.48331008 33:0.62409301 34:0.90101181 35:0.61442807 36:0.47657839 37:0.96011900 38:0.98568067 39:1.09056600 40:2.47859881 41:1.10788517 42:0.99551263 43:1.71622731 44:1.79693301 45:1.97658132 46:3.68966119 47:1.97872783 48:1.79961823 49:0.42167351 50:0.25859680 51:0.25492904 52:0.40206616 53:0.26116304 54:0.27851728 55:0.56644890 56:0.48331008 57:0.62409301 58:0.90101181 59:0.61442807 60:0.47657839 61:0.96011900 62:0.98568067 63:1.09056600 64:2.47859881 65:1.10788517 66:0.99551263 67:1.71622731 68:1.79693301 69:1.97658132 70:3.68966119 71:1.97872783 72:1.79961823
