1:0.82645180 2:0.64026372 3:0.59749807 4:0.82256429 5:0.58436563 6:0.60456230 7:0.89547906 8:0.78108008 9:0.79399952 10:0.98456894 11:0.80836716 12:0.78087246 13:1.10328103 14:1.01876549 15:1.06849770 16:1.16896601 17:1.03258418 18:1.03410599 19:1.09255795 20:1.02254402 21:1.06251163 22:1.16115374 23:1.05390310 24:1.01923583 25:0.29566826 26:0.25045516 27:0.26099270 28:0.41485605 29:0.26526292 30:0.23896352 31:0.27976813 32:0.25908696 33:0.26018620 34:0.35470532 35:0.26724445 36:0.24376211 37:0.31742872 38:0.29946827 39:0.29988172 40:0.33131097 41:0.29707151 42:0.29552503 43:0.30150479 44:0.28589120 45:0.29814656 46:0.31534978 47:0.29011845 48:0.28187593 49:0.56168811 50:0.45504333 51:0.43199755 52:0.55482874 53:0.53077835 54:0.48250798 55:0.34537409 56:0.28851468 57:0.27602251 58:0.30411266 59:0.29352109 60:0.29506907 61:0.22493078 62:0.20905907 63:0.22136133 64:0.20203596 65:0.18647046 66:0.18368537 67:0.17941426 68:0.17855774 69:0.19359249 70:0.17091058 71:0.16921014 72:0.16815690
1:0.55330833 2:0.33358575 3:0.35016108 4:0.63898887 5:0.31758077 6:0.33258352 7:0.49440717 8:0.36460811 9:0.36148964 10:0.61531402 11:0.37237355 12:0.35529388 13:0.59115033 14:0.49474788 15:0.48982742 16:0.63209654 17:0.50041524 18:0.48468706 19:0.66724266 20:0.59062264 21:0.59174708 22:0.71407810 23:0.58849895 24:0.58254306 25:0.24721647 26:0.17990739 27:0.19915660 28:0.38659406 29:0.19307585 30:0.17242808 31:0.26597883 32:0.18685275 33:0.20499420 34:0.31921311 35:0.19903684 36:0.19508963 37:0.31720732 38:0.25929331 39:0.25621831 40:0.32277554 41:0.24796060 42:0.25393385 43:0.35472463 44:0.29758796 45:0.30022401 46:0.35920617 47:0.28659377 48:0.29014004 49:0.64672194 50:0.45923367 51:0.51931226 52:1.02977846 53:0.46379300 54:0.43727736 55:0.47767352 56:0.29849423 57:0.35881003 58:0.74460414 59:0.31000621 60:0.28337458 61:0.40148126 62:0.25685583 63:0.28123587 64:0.48320920 65:0.24783429 66:0.23629014 67:0.30931284 68:0.22217304 69:0.23559161 70:0.35364654 71:0.21767202 72:0.20740414
1:0.51288182 2:0.35689574 3:0.33588103 4:0.65971538 5:0.39418188 6:0.34726704 7:0.48706736 8:0.37612991 9:0.37108915 10:0.56357668 11:0.37686318 12:0.39631249 13:0.53451693 14:0.47410444 15:0.47523804 16:0.58551956 17:0.46923997 18:0.48452839 19:0.58441909 20:0.53457262 21:0.51600007 22:0.61633189 23:0.51900487 24:0.53477355 25:0.34513962 26:0.30727042 27:0.30847297 28:0.48918412 29:0.29200352 30:0.29700022 31:0.33452435 32:0.33846429 33:0.29854476 34:0.38910938 35:0.29874988 36:0.31891876 37:0.36403928 38:0.37978744 39:0.31855762 40:0.34958436 41:0.34445370 42:0.35883362 43:0.37800175 44:0.39487884 45:0.31901712 46:0.34796217 47:0.36030318 48:0.37819435 49:0.58263546 50:0.44462171 51:0.35144222 52:0.60317057 53:0.34217445 54:0.41030359 55:0.44378032 56:0.35073882 57:0.25323059 58:0.42669193 59:0.28319881 60:0.34038251 61:0.31828866 62:0.30346006 63:0.21470239 64:0.30982201 65:0.24814462 66:0.28494322 67:0.25397878 68:0.25813190 69:0.19068395 70:0.23765774 71:0.22337127 72:0.25179673
1:0.64289075 2:0.57630606 3:0.54669961 4:0.69154496 5:0.57336946 6:0.55717070 7:0.47040459 8:0.45290809 9:0.45848293 10:0.52857938 11:0.47605833 12:0.44956089 13:0.34367921 14:0.31501245 15:0.33132229 16:0.39691931 17:0.34598876 18:0.31799844 19:0.26676223 20:0.24662849 21:0.25586504 22:0.29834362 23:0.26206569 24:0.24645096 25:0.73403844 26:0.53587257 27:0.55343370 28:0.73149106 29:0.55334179 30:0.51573310 31:0.45572664 32:0.36409902 33:0.41024515 34:0.51434600 35:0.39297404 36:0.35842489 37:0.26613373 38:0.20892838 39:0.24875811 40:0.33791806 41:0.25081786 42:0.21188455 43:0.19270403 44:0.14284591 45:0.15594635 46:0.23327366 47:0.16398165 48:0.14156960 49:0.35346315 50:0.26542571 51:0.25336393 52:0.37786067 53:0.27780595 54:0.26047600 55:0.22757949 56:0.19564019 57:0.21606756 58:0.28948807 59:0.24256205 60:0.21037475 61:0.14631669 62:0.12110024 63:0.14404618 64:0.20345589 65:0.16842202 66:0.13329589 67:0.11139007 68:0.09685323 69:0.10719726 70:0.14666749 71:0.11607411 72:0.09373685
1:1.16831282 2:0.65308440 3:0.69203964 4:1.33228626 5:0.84619872 6:0.81983741 7:1.01001122 8:0.55036896 9:0.58956336 10:1.10499292 11:0.63684422 12:0.65517045 13:0.87236349 14:0.55678538 15:0.55097724 16:0.91965993 17:0.61120157 18:0.60725194 19:0.92775370 20:0.61584755 21:0.60742513 22:0.94139268 23:0.62190827 24:0.64913176 25:0.96921995 26:0.55882051 27:0.54950227 28:0.97225009 29:0.60075849 30:0.59455427 31:0.89945468 32:0.40521834 33:0.35670081 34:0.77223130 35:0.36982759 36:0.41275501 37:0.66979577 38:0.30485952 39:0.26457475 40:0.57958536 41:0.29187100 42:0.33041492 43:0.53419969 44:0.28664557 45:0.24584373 46:0.46323422 47:0.25548589 48:0.29248963 49:1.16351444 50:0.62599134 51:0.60700163 52:1.06101360 53:0.63408473 54:0.67428473 55:0.99840454 56:0.42355073 57:0.36020014 58:0.86587241 59:0.39278591 60:0.44139794 61:0.64306883 62:0.25984467 63:0.23830528 64:0.65908058 65:0.25051905 66:0.27351559 67:0.33811509 68:0.15643569 69:0.14002152 70:0.34256546 71:0.15087050 72:0.16899529
1:1.07708312 2:0.81763218 3:0.93648478 4:1.41119673 5:0.90913005 6:0.84046503 7:1.15395190 8:0.94757159 9:1.04514718 10:1.38119861 11:1.02443371 12:0.96832905 13:1.26191297 14:1.13401979 15:1.20739085 16:1.49387162 17:1.18939038 18:1.15262465 19:1.28785039 20:1.17478692 21:1.25658544 22:1.50442591 23:1.25771760 24:1.18015849 25:0.56769818 26:0.33947205 27:0.40188346 28:0.72037304 29:0.41209236 30:0.35683626 31:0.43913187 32:0.29930372 33:0.34527993 34:0.60948402 35:0.33445631 36:0.30078566 37:0.39640878 38:0.31020010 39:0.36370648 40:0.55944437 41:0.35650943 42:0.32038070 43:0.42326335 44:0.36057085 45:0.40489867 46:0.54912446 47:0.39542141 48:0.36126346 49:0.58662973 50:0.28171496 51:0.35385894 52:0.71248999 53:0.30756586 54:0.27915523 55:0.37974314 56:0.16644770 57:0.21486321 58:0.50591873 59:0.19397370 60:0.17373268 61:0.24275057 62:0.13895792 63:0.17613659 64:0.35968706 65:0.16508988 66:0.14476941 67:0.17716369 68:0.12558992 69:0.15455929 70:0.26199673 71:0.14700158 72:0.12708079
1:0.78600920 2:0.54040469 3:0.62132045 4:0.92195712 5:0.62214397 6:0.61509023 7:0.72039427 8:0.54878605 9:0.58864106 10:0.79647526 11:0.59857548 12:0.59463279 13:0.93521658 14:0.81673062 15:0.81205306 16:0.94372950 17:0.85313319 18:0.85892035 19:1.49417258 20:1.42428106 21:1.36115017 22:1.36980675 23:1.36790191 24:1.44644970 25:0.52332771 26:0.44678457 27:0.52927409 28:0.80448188 29:0.56392480 30:0.45996153 31:0.41146259 32:0.35472930 33:0.41398232 34:0.61778760 35:0.43085680 36:0.37243450 37:0.47826726 38:0.40049191 39:0.42499319 40:0.56487407 41:0.44920097 42:0.41936912 43:0.65878631 44:0.61330494 45:0.59663706 46:0.63799663 47:0.61518370 48:0.63502974 49:0.99072654 50:0.73933585 51:0.82448065 52:1.17560883 53:0.82830163 54:0.75625302 55:0.64164293 56:0.44714541 57:0.51877204 58:0.81997301 59:0.59334795 60:0.50208082 61:0.48910000 62:0.32370831 63:0.37621337 64:0.60343992 65:0.43299079 66:0.38015660 67:0.43041918 68:0.32435722 69:0.35296328 70:0.47711279 71:0.39139108 72:0.36248393
1:1.05088459 2:0.85202550 3:0.78215230 4:0.96513224 5:0.76282729 6:0.79397936 7:0.89122213 8:0.75591828 9:0.69287336 10:0.75858971 11:0.70252082 12:0.74505557 13:0.94451453 14:0.77287361 15:0.70139852 16:0.76666420 17:0.70073482 18:0.77311136 19:0.86945263 20:0.67287768 21:0.62456743 22:0.71575193 23:0.62192241 24:0.66966173 25:0.24275317 26:0.17566087 27:0.17272936 28:0.22617839 29:0.15941643 30:0.17805739 31:0.20137940 32:0.16033673 33:0.15912553 34:0.18254916 35:0.15723082 36:0.16821110 37:0.25501275 38:0.20246200 39:0.20275104 40:0.21577341 41:0.19958072 42:0.20586338 43:0.32640879 44:0.30229836 45:0.30815223 46:0.31405947 47:0.31366196 48:0.31252150 49:0.35325594 50:0.29889985 51:0.32351550 52:0.36540127 53:0.28084921 54:0.28596450 55:0.25658241 56:0.24348270 57:0.26085626 58:0.23358157 59:0.19388610 60:0.20367382 61:0.21427246 62:0.18827475 63:0.19394822 64:0.18677941 65:0.16555652 66:0.17169614 67:0.19097636 68:0.19028932 69:0.20186115 70:0.19546869 71:0.20290992 72:0.19593169
1:0.93784422 2:0.75055647 3:0.72267046 4:0.80701957 5:0.77413685 6:0.73219790 7:0.72709288 8:0.58015670 9:0.58306567 10:0.64080162 11:0.63113358 12:0.59243342 13:0.69831805 14:0.62989080 15:0.64095777 16:0.70315044 17:0.67154060 18:0.63892306 19:0.78196841 20:0.70890224 21:0.73133557 22:0.80154429 23:0.74501815 24:0.71817222 25:0.41963919 26:0.37943914 27:0.33997634 28:0.35075640 29:0.35301905 30:0.37427911 31:0.27563990 32:0.24408554 33:0.24287400 34:0.24126343 35:0.27993979 36:0.26203221 37:0.23671102 38:0.21403908 39:0.21797669 40:0.24328949 41:0.25529715 42:0.23415266 43:0.23085919 44:0.21585878 45:0.22727842 46:0.24736244 47:0.26229174 48:0.23922033 49:0.68155268 50:0.54236466 51:0.56152588 52:0.72724755 53:0.62313873 54:0.54322135 55:0.36802781 56:0.28814463 57:0.30336306 58:0.39295489 59:0.36486314 60:0.31502805 61:0.21438326 62:0.17165833 63:0.18842717 64:0.24974671 65:0.24741634 66:0.20099330 67:0.14440324 68:0.11682453 69:0.12418091 70:0.16225336 71:0.17524627 72:0.15914159
49:1.08535945 50:0.66613502 51:0.60418607 52:0.93635763 53:0.57605543 54:0.64254945 55:0.66273081 56:0.35236895 57:0.31896510 58:0.57034949 59:0.32582050 60:0.34477202 61:0.32687874 62:0.16857094 63:0.16070507 64:0.29552147 65:0.16021861 66:0.17250095 67:0.19766815 68:0.12869018 69:0.12743254 70:0.17480595 71:0.12099983 72:0.12636189
